# Downloaded from http://www.nature.com/nature/journal/v425/n6959/suppinfo/nature02046.html
# Ghaemmaghami et al. Nature 2003
#ORF	Observed Expression	Protein Molecules/Cell	Standard Deviation	CEC	Spurious
orf	method	abund	sd.abund	cec	spurious
YGL049C	Both	3389	NA	0.86	0
YGL050W	TAP	3389	NA	0.67	0
YGL051W	None	NA	NA	0.36	0
YGL052W	None	NA	NA	0.09	1
YGL053W	Both	1254	NA	0.53	0
YGL054C	Both	7109	NA	0.5	0
YGL055W	Both	NA	NA	0.64	0
YGL056C	Both	21216	NA	0.51	0
YGL057C	Both	NA	NA	0.59	0
YGL058W	Both	2768	NA	0.64	0
YGL059W	Both	450	NA	0.62	0
YGL060W	Both	3870	NA	0.73	0
YGL061C	Both	996	NA	0.58	0
YGL062W	Both	12532	NA	0.79	0
YGL063W	None	NA	NA	0.02	0
YGL064C	Both	736	NA	0.68	0
YGL065C	Both	1835	NA	0.81	0
YGL066W	Both	486	NA	0.6	0
YGL067W	Both	846	NA	0.65	0
YGL068W	Both	6940	NA	0.68	0
YGL069C	None	NA	NA	0.37	0
YGL070C	Both	2444	NA	0.24	0
YGL071W	Both	2733	NA	0.6	0
YGL072C	None	NA	NA	-0.27	1
YGL073W	GFP	NA	NA	0.58	0
YGL074C	None	NA	NA	-0.01	1
YGL075C	GFP	NA	NA	0.72	0
YGL076C	Both	101441	NA	0.61	0
YGL077C	Both	NA	NA	0.56	0
YGL078C	Both	38934	NA	0.84	0
YGL079W	Both	1630	NA	0.64	0
YGL080W	Both	396	NA	0.42	0
YGL081W	None	NA	NA	0.62	0
YGL082W	Both	7622	NA	0.65	0
YGL083W	Both	1485	NA	0.73	0
YGL084C	Both	672	NA	0.47	0
YGL085W	Both	704	NA	0.48	0
YGL086W	Both	656	NA	0.67	0
YGL087C	Both	2756	NA	0.52	0
YGL088W	None	NA	NA	-0.03	1
YGL089C	None	NA	NA	0.47	0
YGL090W	Both	876	NA	0.67	0
YGL091C	GFP	NA	NA	0.67	0
YGL092W	Both	4633	NA	0.87	0
YGL093W	GFP	NA	NA	0.72	0
YGL094C	Both	1512	NA	0.77	0
YGL095C	Both	5660	NA	0.73	0
YGL096W	None	NA	NA	0.36	0
YGL097W	Both	12082	1.40E+03	0.77	0
YGL098W	Both	937	NA	0.65	0
YGL099W	Both	19425	NA	0.86	0
YGL100W	TAP	952	NA	0.64	0
YGL101W	Both	1498	NA	0.71	0
YGL102C	None	NA	NA	0.11	1
YGL103W	None	NA	NA	0.53	0
YGL104C	None	NA	NA	0.39	0
YGL105W	Both	57716	NA	0.78	0
YGL106W	None	NA	NA	0.59	0
YGL107C	Both	4803	NA	0.76	0
YGL108C	Both	2432	NA	0.46	0
YGL109W	None	NA	NA	0.09	1
YGL110C	Both	6302	NA	0.76	0
YGL111W	Both	2745	NA	0.74	0
YGL112C	Both	6506	1.29E+03	0.77	0
YGL113W	Both	125	NA	0.59	0
YGL114W	None	NA	NA	0.49	0
YGL115W	Both	11677	NA	0.62	0
YGL116W	GFP	NA	NA	0.68	0
YGL117W	TAP	149	NA	0.48	0
YGL118C	None	NA	NA	0.36	0
YGL119W	Both	952	NA	0.73	0
YGL120C	Both	16910	1.11E+03	0.85	0
YGL121C	None	NA	NA	0.5	0
YGL122C	Both	9672	2.20E+03	0.54	0
YGL123W	None	NA	NA	0.6	0
YGL124C	Both	NA	NA	0.58	0
YGL125W	Both	8604	NA	0.52	0
YGL126W	Both	538	NA	-0.1	0
YGL127C	Both	468	NA	0.19	0
YGL128C	Both	NA	NA	0.17	0
YGL129C	Both	1295	NA	0.66	0
YGL130W	Both	279	NA	0.69	0
YGL131C	Both	NA	NA	0.69	0
YGL132W	None	NA	NA	0.12	1
YGL133W	Both	2607	NA	0.86	0
YGL134W	Both	217	NA	0.67	0
YGL135W	Both	264999	NA	0.56	0
YGL136C	None	NA	NA	0.6	0
YGL137W	Both	129074	NA	0.87	0
YGL138C	None	NA	NA	0.48	0
YGL139W	GFP	NA	NA	0.61	0
YGL140C	Both	1084	NA	0.76	0
YGL141W	Both	3116	NA	0.8	0
YGL142C	None	NA	NA	0.37	0
YGL143C	Both	414	NA	0.75	0
YGL144C	TAP	NA	NA	0.78	0
YGL145W	Both	6024	NA	0.68	0
YGL146C	None	NA	NA	0.28	0
YGL147C	Both	52359	NA	0.52	0
YGL148W	Both	2313	NA	0.64	0
YGL149W	None	NA	NA	-0.16	1
YGL150C	Both	6278	NA	0.89	0
YGL151W	Both	2491	NA	0.78	0
YGL152C	None	NA	NA	0.03	1
YGL153W	Both	2572	NA	0.75	0
YGL154C	TAP	623	NA	0.57	0
YGL155W	Both	3939	7.55E+01	0.4	0
YGL156W	Both	319	NA	0.81	0
YGL157W	Both	2949	NA	0.76	0
YGL158W	None	NA	NA	0.74	0
YGL159W	TAP	172	NA	0.66	0
YGL160W	None	NA	NA	0.45	0
YGL161C	Both	937	NA	0.5	0
YGL162W	Both	1098	NA	0.32	0
YGL163C	Both	NA	NA	0.82	0
YGL164C	Both	3671	NA	0.72	0
YGL165C	None	NA	NA	0.07	1
YGL166W	Both	1759	NA	0.42	0
YGL167C	Both	6904	NA	0.81	0
YGL168W	None	NA	NA	0.02	1
YGL169W	Both	538	NA	0.58	0
YGL170C	None	NA	NA	0.71	0
YGL171W	None	NA	NA	0.81	0
YGL172W	Both	4756	4.45E+02	0.44	0
YGL173C	Both	11677	NA	0.9	0
YGL174W	GFP	NA	NA	0.63	0
YGL175C	Both	1026	NA	0.65	0
YGL176C	None	NA	NA	0.67	0
YGL177W	None	NA	NA	0.2	1
YGL178W	Both	1240	NA	0.59	0
YGL179C	None	NA	NA	0.63	0
YGL180W	Both	1069	NA	0.81	0
YGL181W	Both	937	NA	0.45	0
YGL182C	None	NA	NA	0.1	1
YGL183C	None	NA	NA	0.54	0
YGL184C	Both	NA	NA	0.56	0
YGL185C	Both	1431	NA	0.59	0
YGL186C	GFP	NA	NA	0.42	0
YGL187C	Both	9411	NA	0.62	0
YGL188C	None	NA	NA	0.21	1
YGL189C	Both	16322	NA	0.46	0
YGL190C	Both	8604	NA	0.68	0
YGL191W	None	NA	NA	0.6	0
YGL192W	None	NA	NA	0.61	0
YGL193C	None	NA	NA	-0.07	1
YGL194C	Both	4889	NA	0.61	0
YGL195W	Both	7328	NA	0.87	0
YGL196W	None	NA	NA	0.46	0
YGL197W	Both	396	NA	0.75	0
YGL198W	None	NA	NA	0.05	1
YGL199C	None	NA	NA	0.16	1
YGL200C	Both	26817	NA	0.51	0
YGL201C	Both	13436	NA	0.83	0
YGL202W	Both	1772	NA	0.78	0
YGL203C	Both	8553	NA	0.76	0
YGL204C	None	NA	NA	0.18	1
YGL205W	None	NA	NA	0.75	0
YGL206C	Both	28661	NA	0.87	0
YGL207W	Both	18491	NA	0.92	0
YGL208W	TAP	300	NA	0.58	0
YGL209W	Both	504	NA	0.42	0
YGL210W	Both	4298	NA	0.65	0
YGL211W	Both	NA	NA	0.34	0
YGL212W	Both	2361	NA	0.56	0
YGL213C	Both	1708	NA	0.69	0
YGL214W	None	NA	NA	0.33	0
YGL215W	None	NA	NA	0.47	0
YGL216W	Both	736	NA	0.69	0
YGL217C	None	NA	NA	0.16	1
YGL218W	None	NA	NA	0.27	0
YGL219C	Both	377	NA	0.51	0
YGL220W	Both	2047	NA	0.33	0
YGL221C	Both	6001	NA	0.55	0
YGL222C	GFP	NA	NA	0.37	0
YGL223C	Both	2193	NA	0.5	0
YGL224C	None	NA	NA	0.63	0
YGL225W	Both	31880	NA	0.52	0
YGL226C-A	Both	1011	NA	0.36	0
YGL226W	Both	1169	NA	0.2	0
YGL227W	Both	1498	NA	0.83	0
YGL228W	TAP	8643	NA	0.7	0
YGL229C	Both	279	NA	0.76	0
YGL230C	None	NA	NA	0.45	0
YGL231C	Both	1323	NA	0.47	0
YGL232W	Both	2630	NA	0.7	0
YGL233W	Both	4277	NA	0.78	0
YGL234W	Both	35801	NA	0.69	0
YGL235W	None	NA	NA	0.18	0
YGL236C	None	NA	NA	0.52	0
YGL237C	Both	NA	NA	0.51	0
YGL238W	Both	23504	1.70E+03	0.79	0
YGL239C	None	NA	NA	0.19	1
YGL240W	Both	1364	NA	0.4	0
YGL241W	Both	2937	NA	0.75	0
YGL242C	None	NA	NA	0.75	0
YGL243W	None	NA	NA	0.67	0
YGL244W	Both	6512	NA	0.78	0
YGL245W	Both	48697	NA	0.78	0
YGL246C	Both	4031	NA	0.74	0
YGL247W	Both	125	NA	0.4	0
YGL248W	TAP	1404	NA	0.55	0
YGL249W	GFP	NA	NA	0.7	0
YGL250W	Both	1822	NA	0.64	0
YGL251C	None	NA	NA	0.71	0
YGL252C	Both	3259	NA	0.71	0
YGL253W	Both	114499	NA	0.73	0
YGL254W	Both	2120	NA	0.36	0
YGL255W	Both	NA	NA	0.52	0
YGL256W	Both	125	NA	0.66	0
YGL257C	TAP	1169	NA	0.6	0
YGL258W	None	NA	NA	0.58	0
YGL258W-A	None	NA	NA	0.34	0
YGL259W	None	NA	NA	0.27	0
YGL260W	None	NA	NA	-0.06	1
YGL261C	None	NA	NA	0.48	0
YGL262W	None	NA	NA	0.31	0
YGL263W	None	NA	NA	0.41	0
YGR001C	Both	3060	NA	0.73	0
YGR002C	Both	2229	NA	0.66	0
YGR003W	Both	172	NA	0.62	0
YGR004W	Both	238	NA	0.48	0
YGR005C	TAP	520	1.23E+02	0.79	0
YGR006W	None	NA	NA	0.54	0
YGR007W	Both	4696	NA	0.52	0
YGR008C	Both	5325	NA	0.62	0
YGR009C	None	NA	NA	0.74	0
YGR010W	Both	1431	NA	0.69	0
YGR011W	None	NA	NA	0.04	1
YGR012W	Both	4654	NA	0.64	0
YGR013W	Both	782	2.66E+02	0.66	0
YGR014W	Both	1323	NA	0.32	0
YGR015C	GFP	NA	NA	0.47	0
YGR016W	TAP	238	NA	0.42	0
YGR017W	Both	2836	NA	0.56	0
YGR018C	None	NA	NA	0.12	1
YGR019W	Both	573	NA	0.75	0
YGR020C	Both	4052	NA	0.66	0
YGR021W	Both	1784	NA	0.51	0
YGR022C	None	NA	NA	0.42	0
YGR023W	TAP	NA	NA	0.17	0
YGR024C	Both	1169	NA	0.54	0
YGR025W	None	NA	NA	0.16	1
YGR026W	Both	NA	NA	0.4	0
YGR027C	Both	321822	NA	0.55	0
YGR028W	Both	3534	NA	0.68	0
YGR029W	None	NA	NA	0.52	0
YGR030C	Both	3182	NA	0.55	0
YGR031W	Both	7401	NA	0.3	0
YGR032W	TAP	NA	NA	0.75	0
YGR033C	Both	3770	NA	0.45	0
YGR034W	Both	33236	NA	0.56	0
YGR035C	None	NA	NA	0.38	0
YGR036C	Both	NA	NA	0.28	0
YGR037C	Both	8502	NA	0.61	0
YGR038W	Both	2802	NA	0.51	0
YGR039W	None	NA	NA	0.11	1
YGR040W	Both	5481	NA	0.58	0
YGR041W	Both	952	NA	0.61	0
YGR042W	Both	NA	NA	0.61	0
YGR043C	Both	1923	NA	0.81	0
YGR044C	GFP	NA	NA	0.37	0
YGR045C	None	NA	NA	0.09	1
YGR046W	Both	195	NA	0.61	0
YGR047C	Both	876	NA	0.75	0
YGR048W	Both	3534	NA	0.68	0
YGR049W	Both	3215	NA	0.45	0
YGR050C	None	NA	NA	0.07	1
YGR051C	None	NA	NA	-0.03	1
YGR052W	Both	339	NA	0.63	0
YGR053C	None	NA	NA	0.67	0
YGR054W	None	NA	NA	0.8	0
YGR055W	Both	NA	NA	0.6	0
YGR056W	TAP	259	NA	0.69	0
YGR057C	TAP	656	NA	0.52	0
YGR058W	Both	1630	NA	0.56	0
YGR059W	None	NA	NA	0.75	0
YGR060W	Both	77108	NA	0.51	0
YGR061C	Both	40770	NA	0.83	0
YGR062C	Both	468	NA	0.16	0
YGR063C	Both	4485	NA	0.4	0
YGR064W	None	NA	NA	-0.07	1
YGR065C	Both	NA	NA	0.57	0
YGR066C	None	NA	NA	0.69	0
YGR067C	None	NA	NA	0.59	0
YGR068C	Both	1973	NA	0.38	0
YGR069W	None	NA	NA	0.03	1
YGR070W	None	NA	NA	0.69	0
YGR071C	Both	1055	NA	0.56	0
YGR072W	Both	1254	NA	0.67	0
YGR073C	None	NA	NA	0	1
YGR074W	Both	2396	NA	0.42	0
YGR075C	Both	2385	NA	0.62	0
YGR076C	Both	1551	NA	0.54	0
YGR077C	TAP	538	NA	0.37	0
YGR078C	Both	6548	NA	0.47	0
YGR079W	None	NA	NA	0.52	0
YGR080W	Both	1472	NA	0.64	0
YGR081C	Both	3671	NA	0.74	0
YGR082W	Both	5683	NA	0.63	0
YGR083C	Both	10308	1.00E+03	0.76	0
YGR084C	Both	16041	NA	0.53	0
YGR085C	Both	21216	NA	0.62	0
YGR086C	Both	114642	NA	0.78	0
YGR087C	Both	1525	NA	0.69	0
YGR088W	Both	319	NA	0.77	0
YGR089W	Both	996	NA	0.72	0
YGR090W	Both	3259	NA	0.87	0
YGR091W	Both	1265	1.35E+02	0.76	0
YGR092W	Both	3497	NA	0.74	0
YGR093W	Both	1268	NA	0.69	0
YGR094W	Both	358	NA	0.83	0
YGR095C	Both	10758	NA	0.59	0
YGR096W	GFP	NA	NA	0.28	0
YGR097W	Both	NA	NA	0.72	0
YGR098C	Both	NA	NA	0.57	0
YGR099W	TAP	638	1.52E+02	0.57	0
YGR100W	Both	768	NA	0.81	0
YGR101W	Both	NA	NA	0.17	0
YGR102C	Both	172	NA	0.5	0
YGR103W	Both	4527	NA	0.88	0
YGR104C	Both	1011	NA	0.59	0
YGR105W	Both	1485	NA	0.29	0
YGR106C	Both	12764	NA	0.7	0
YGR107W	None	NA	NA	-0.12	1
YGR108W	Both	300	NA	0.74	0
YGR109C	None	NA	NA	0.67	0
YGR110W	None	NA	NA	0.57	0
YGR111W	Both	768	NA	0.67	0
YGR112W	Both	623	NA	0.58	0
YGR113W	None	NA	NA	0.66	0
YGR114C	None	NA	NA	-0.06	1
YGR115C	None	NA	NA	0.15	0
YGR116W	Both	8888	NA	0.86	0
YGR117C	Both	1281	NA	0.67	0
YGR118W	Both	10566	NA	0.56	0
YGR119C	Both	9305	1.12E+03	0.45	0
YGR120C	Both	3270	NA	0.59	0
YGR121C	Both	NA	NA	0.39	0
YGR122C-A	None	NA	NA	0.12	1
YGR122W	Both	NA	NA	0.5	0
YGR123C	Both	6988	NA	0.8	0
YGR124W	Both	58179	NA	0.74	0
YGR125W	Both	1418	NA	0.66	0
YGR126W	GFP	NA	NA	0.66	0
YGR127W	None	NA	NA	0.67	0
YGR128C	Both	16761	NA	0.74	0
YGR129W	Both	2455	NA	0.66	0
YGR130C	Both	10294	NA	0.77	0
YGR131W	None	NA	NA	0.28	0
YGR132C	Both	9689	NA	0.74	0
YGR133W	Both	NA	NA	0.28	0
YGR134W	Both	1323	NA	0.74	0
YGR135W	Both	17078	NA	0.74	0
YGR136W	GFP	NA	NA	0.5	0
YGR137W	None	NA	NA	-0.25	1
YGR138C	GFP	NA	NA	0.62	0
YGR139W	None	NA	NA	0.13	1
YGR140W	Both	1345	2.05E+02	0.77	0
YGR141W	TAP	623	NA	0.46	0
YGR142W	Both	NA	NA	0.81	0
YGR143W	TAP	468	NA	0.66	0
YGR144W	None	NA	NA	0.64	0
YGR145W	None	NA	NA	0.83	0
YGR146C	TAP	589	NA	0.45	0
YGR147C	Both	1240	NA	0.47	0
YGR148C	Both	36883	NA	0.58	0
YGR149W	Both	NA	NA	0.41	0
YGR150C	Both	876	NA	0.71	0
YGR151C	GFP	NA	NA	-0.03	0
YGR152C	Both	NA	NA	0.64	0
YGR153W	None	NA	NA	0.45	0
YGR154C	None	NA	NA	0.66	0
YGR155W	Both	41938	NA	0.78	0
YGR156W	Both	937	NA	0.48	0
YGR157W	Both	1810	NA	0.66	0
YGR158C	Both	7376	NA	0.68	0
YGR159C	Both	77437	NA	0.71	0
YGR160W	None	NA	NA	0.51	0
YGR161C	Both	2096	NA	0.45	0
YGR162W	Both	9756	NA	0.85	0
YGR163W	Both	2607	NA	0.53	0
YGR164W	None	NA	NA	0.09	1
YGR165W	Both	3465	NA	0.56	0
YGR166W	Both	1656	NA	0.53	0
YGR167W	Both	3486	NA	0.81	0
YGR168C	None	NA	NA	0.32	0
YGR169C	TAP	377	NA	0.56	0
YGR170W	None	NA	NA	0.79	0
YGR171C	Both	3116	NA	0.69	0
YGR172C	None	NA	NA	0.43	0
YGR173W	Both	6197	NA	0.76	0
YGR174C	Both	704	NA	0.43	0
YGR175C	Both	65384	NA	0.7	0
YGR176W	None	NA	NA	-0.23	1
YGR177C	Both	3005	NA	0.67	0
YGR178C	Both	2870	NA	0.77	0
YGR179C	Both	2688	NA	0.62	0
YGR180C	Both	88884	NA	0.72	0
YGR181W	None	NA	NA	0.54	0
YGR182C	None	NA	NA	0.02	1
YGR183C	Both	4548	NA	0.43	0
YGR184C	None	NA	NA	0.85	0
YGR185C	Both	2710	3.05E+02	0.81	0
YGR186W	Both	1923	NA	0.86	0
YGR187C	Both	20844	NA	0.82	0
YGR188C	Both	414	NA	0.7	0
YGR189C	Both	29521	NA	0.52	0
YGR190C	None	NA	NA	0.34	0
YGR191W	Both	688	NA	0.66	0
YGR192C	Both	168876	NA	0.59	0
YGR193C	Both	414	NA	0.82	0
YGR194C	Both	3465	NA	0.73	0
YGR195W	Both	5149	NA	0.63	0
YGR196C	TAP	NA	NA	0.75	0
YGR197C	None	NA	NA	0.62	0
YGR198W	Both	1643	NA	0.72	0
YGR199W	None	NA	NA	0.48	0
YGR200C	Both	6093	NA	0.8	0
YGR201C	TAP	NA	NA	0.59	0
YGR202C	Both	3049	NA	0.66	0
YGR203W	Both	2313	NA	-0.07	0
YGR204W	Both	35641	NA	0.71	0
YGR205W	Both	4277	NA	0.56	0
YGR206W	Both	752	NA	0.41	0
YGR207C	Both	2402	NA	0.74	0
YGR208W	Both	13850	NA	0.72	0
YGR209C	Both	17237	NA	0.59	0
YGR210C	Both	11592	NA	0.53	0
YGR211W	Both	39859	NA	0.81	0
YGR212W	None	NA	NA	0.51	0
YGR213C	None	NA	NA	0.39	0
YGR214W	Both	93684	NA	0.65	0
YGR215W	GFP	NA	NA	0.42	0
YGR216C	None	NA	NA	0.47	0
YGR217W	GFP	NA	NA	0.68	0
YGR218W	Both	7085	NA	0.85	0
YGR219W	GFP	NA	NA	0.13	0
YGR220C	Both	3193	NA	0.55	0
YGR221C	TAP	57	NA	0.48	0
YGR222W	Both	799	NA	0.5	0
YGR223C	None	NA	NA	0.55	0
YGR224W	None	NA	NA	0.47	0
YGR225W	None	NA	NA	0.65	0
YGR226C	None	NA	NA	0.22	0
YGR227W	None	NA	NA	0.22	0
YGR228W	None	NA	NA	0.05	1
YGR229C	Both	5683	NA	0.86	0
YGR230W	None	NA	NA	0.15	1
YGR231C	Both	2847	NA	0.64	0
YGR232W	Both	319	NA	0.68	0
YGR233C	Both	2926	NA	0.76	0
YGR234W	Both	12967	NA	0.77	0
YGR235C	Both	5215	NA	0.64	0
YGR236C	None	NA	NA	0.37	0
YGR237C	Both	1055	NA	0.68	0
YGR238C	Both	468	NA	0.68	0
YGR239C	GFP	NA	NA	0.38	0
YGR240C	Both	89811	NA	0.74	0
YGR241C	Both	6797	NA	0.59	0
YGR242W	None	NA	NA	-0.04	1
YGR243W	Both	6749	NA	0.25	0
YGR244C	GFP	NA	NA	0.83	0
YGR245C	TAP	3638	1.39E+02	0.87	0
YGR246C	Both	4332	5.89E+02	0.83	0
YGR247W	Both	1525	NA	0.34	0
YGR248W	Both	4318	NA	0.52	0
YGR249W	None	NA	NA	0.37	0
YGR250C	Both	1911	NA	0.73	0
YGR251W	Both	1458	NA	0.61	0
YGR252W	Both	1184	NA	0.66	0
YGR253C	Both	17078	NA	0.68	0
YGR254W	Both	76729	NA	0.61	0
YGR255C	Both	2937	NA	0.67	0
YGR256W	Both	556	NA	0.7	0
YGR257C	Both	538	NA	0.43	0
YGR258C	Both	846	NA	0.8	0
YGR259C	None	NA	NA	0.06	1
YGR260W	Both	NA	NA	0.62	0
YGR261C	Both	3573	NA	0.83	0
YGR262C	Both	3016	NA	0.51	0
YGR263C	Both	NA	NA	0.61	0
YGR264C	Both	85016	2.68E+04	0.83	0
YGR265W	None	NA	NA	0.1	1
YGR266W	Both	3226	NA	0.78	0
YGR267C	Both	2836	NA	0.64	0
YGR268C	GFP	NA	NA	0.15	0
YGR269W	Both	279	NA	0.2	0
YGR270W	Both	172	NA	0.85	0
YGR271C-A	Both	2836	NA	0.53	0
YGR271W	Both	486	NA	0.85	0
YGR272C	GFP	NA	NA	0.59	0
YGR273C	None	NA	NA	0.59	0
YGR274C	Both	1498	NA	0.89	0
YGR275W	Both	1551	NA	0.6	0
YGR276C	None	NA	NA	0.81	0
YGR277C	Both	3612	NA	0.38	0
YGR278W	Both	3259	NA	0.66	0
YGR279C	Both	6186	NA	0.55	0
YGR280C	Both	3850	NA	0.52	0
YGR281W	Both	3612	NA	0.85	0
YGR282C	Both	45010	NA	0.65	0
YGR283C	Both	2825	NA	0.62	0
YGR284C	Both	NA	NA	0.52	0
YGR285C	Both	86409	NA	0.72	0
YGR286C	Both	504	NA	0.7	0
YGR287C	TAP	752	NA	0.73	0
YGR288W	None	NA	NA	0.51	0
YGR289C	None	NA	NA	0.65	0
YGR290W	None	NA	NA	0.22	1
YGR291C	None	NA	NA	0.13	1
YGR292W	TAP	5062	NA	0.79	0
YGR293C	None	NA	NA	0.05	1
YGR294W	None	NA	NA	0.49	0
YGR295C	GFP	NA	NA	0.37	0
YGR296W	TAP	NA	NA	0.56	0
YHL001W	Both	35104	NA	0.51	0
YHL002W	Both	358	NA	0.67	0
YHL003C	Both	NA	NA	0.55	0
YHL004W	Both	6892	NA	0.76	0
YHL005C	None	NA	NA	-0.13	1
YHL006C	None	NA	NA	-0.1	1
YHL007C	Both	259	NA	0.78	0
YHL008C	Both	NA	NA	0.71	0
YHL009C	Both	1682	NA	0.74	0
YHL010C	None	NA	NA	0.66	0
YHL011C	GFP	NA	NA	0.64	0
YHL012W	None	NA	NA	0.62	0
YHL013C	Both	172	NA	0.7	0
YHL014C	Both	2361	NA	0.77	0
YHL015W	None	NA	NA	0.55	0
YHL016C	None	NA	NA	0.61	0
YHL017W	Both	14599	NA	0.6	0
YHL018W	Both	752	NA	0.17	0
YHL019C	Both	2892	NA	0.57	0
YHL020C	Both	1281	NA	0.37	0
YHL021C	Both	5796	NA	0.7	0
YHL022C	None	NA	NA	0.61	0
YHL023C	None	NA	NA	0.71	0
YHL024W	None	NA	NA	0.75	0
YHL025W	Both	2904	NA	0.36	0
YHL026C	Both	830	NA	0.53	0
YHL027W	Both	1822	NA	0.62	0
YHL028W	Both	NA	NA	0.11	0
YHL029C	Both	12532	NA	0.58	0
YHL030W	Both	2949	NA	0.84	0
YHL031C	None	NA	NA	0.28	0
YHL032C	GFP	NA	NA	0.63	0
YHL033C	Both	237633	NA	0.6	0
YHL034C	Both	12764	NA	0.72	0
YHL035C	None	NA	NA	0.74	0
YHL036W	GFP	NA	NA	0.37	0
YHL037C	None	NA	NA	0.13	1
YHL038C	Both	1364	NA	0.67	0
YHL039W	Both	5171	NA	0.75	0
YHL040C	Both	NA	NA	0.57	0
YHL041W	None	NA	NA	0.08	1
YHL042W	None	NA	NA	0.41	0
YHL043W	None	NA	NA	0.52	0
YHL044W	None	NA	NA	0.45	0
YHL045W	None	NA	NA	0.26	0
YHL046C	None	NA	NA	0.46	0
YHL047C	None	NA	NA	0.54	0
YHL048W	Both	3071	NA	0.38	0
YHL049C	None	NA	NA	0.43	0
YHL050C	None	NA	NA	0.43	0
YHR001W	TAP	2349	NA	0.77	0
YHR001W-A	Both	5593	NA	0.36	0
YHR002W	None	NA	NA	0.5	0
YHR003C	Both	8425	NA	0.72	0
YHR004C	Both	377	NA	0.55	0
YHR005C	Both	9916	NA	0.77	0
YHR005C-A	None	NA	NA	0.63	0
YHR006W	Both	6489	NA	0.64	0
YHR007C	Both	73217	NA	0.68	0
YHR008C	Both	10923	NA	0.56	0
YHR009C	Both	5237	NA	0.74	0
YHR010W	Both	7376	NA	0.55	0
YHR011W	Both	405	NA	0.66	0
YHR012W	Both	259	NA	0.75	0
YHR013C	Both	3313	NA	0.64	0
YHR014W	None	NA	NA	0.45	0
YHR015W	Both	99	NA	0.67	0
YHR016C	TAP	NA	NA	0.61	0
YHR017W	None	NA	NA	0.52	0
YHR018C	Both	10158	NA	0.77	0
YHR019C	None	NA	NA	0.75	0
YHR020W	None	NA	NA	0.8	0
YHR021C	Both	NA	NA	0.48	0
YHR021W-A	None	NA	NA	0.17	0
YHR022C	None	NA	NA	0.4	0
YHR023W	Both	2145	NA	0.78	0
YHR024C	Both	31358	2.46E+03	0.73	0
YHR025W	Both	92610	NA	0.6	0
YHR026W	GFP	NA	NA	0.43	0
YHR027C	Both	305988	NA	0.89	0
YHR028C	None	NA	NA	0.69	0
YHR029C	TAP	NA	NA	0.75	0
YHR030C	Both	3226	NA	0.65	0
YHR031C	Both	656	NA	0.8	0
YHR032W	None	NA	NA	0.39	0
YHR033W	None	NA	NA	0.23	0
YHR034C	Both	2607	NA	0.3	0
YHR035W	TAP	450	NA	0.69	0
YHR036W	Both	1281	NA	0.67	0
YHR037W	Both	17205	NA	0.84	0
YHR038W	Both	1445	NA	0.64	0
YHR039C	Both	2502	NA	0.75	0
YHR039C-A	Both	2277	NA	0.71	0
YHR040W	Both	2802	NA	0.37	0
YHR041C	Both	1720	NA	0.15	0
YHR042W	Both	46626	NA	0.67	0
YHR043C	Both	2396	NA	0.66	0
YHR044C	TAP	752	NA	0.69	0
YHR045W	GFP	NA	NA	0.7	0
YHR046C	Both	2444	NA	0.63	0
YHR047C	Both	76982	NA	0.86	0
YHR048W	None	NA	NA	0.27	0
YHR049C-A	None	NA	NA	-0.14	1
YHR049W	Both	14599	NA	0.72	0
YHR050W	None	NA	NA	0.5	0
YHR051W	Both	12475	NA	0.68	0
YHR052W	Both	45870	NA	0.83	0
YHR053C	Both	31880	NA	0.14	0
YHR054C	None	NA	NA	0.62	0
YHR055C	Both	6678	NA	0.14	0
YHR056C	None	NA	NA	0.67	0
YHR057C	Both	339	NA	0.36	0
YHR058C	Both	4824	NA	0.55	0
YHR059W	Both	2630	NA	0.51	0
YHR060W	Both	752	NA	0.66	0
YHR061C	Both	1098	NA	0.62	0
YHR062C	Both	6302	NA	0.31	0
YHR063C	Both	2595	NA	0.75	0
YHR064C	Both	73590	NA	0.79	0
YHR065C	None	NA	NA	0.76	0
YHR066W	Both	8147	NA	0.82	0
YHR067W	Both	799	NA	0.34	0
YHR068W	Both	7598	NA	0.76	0
YHR069C	Both	4841	3.88E+02	0.62	0
YHR070W	Both	4123	NA	0.39	0
YHR071W	None	NA	NA	0.41	0
YHR072W	Both	2193	NA	0.67	0
YHR072W-A	GFP	NA	NA	0.44	0
YHR073W	Both	589	NA	0.76	0
YHR074W	Both	172	NA	0.73	0
YHR075C	None	NA	NA	0.69	0
YHR076W	None	NA	NA	0.76	0
YHR077C	Both	1281	NA	0.79	0
YHR078W	None	NA	NA	0.46	0
YHR079C	Both	259	NA	0.74	0
YHR079C-A	None	NA	NA	0.36	0
YHR080C	TAP	NA	NA	0.73	0
YHR081W	None	NA	NA	0.58	0
YHR082C	Both	1268	NA	0.78	0
YHR083W	Both	1472	NA	0.44	0
YHR084W	Both	1923	NA	0.66	0
YHR085W	Both	4422	NA	0.55	0
YHR086W	Both	1485	NA	0.46	0
YHR087W	Both	2432	NA	0.68	0
YHR088W	TAP	784	NA	0.66	0
YHR089C	Both	5728	NA	0.35	0
YHR090C	Both	NA	NA	0.7	0
YHR091C	None	NA	NA	0.56	0
YHR092C	None	NA	NA	0.58	0
YHR093W	TAP	NA	NA	0.32	0
