# Downloaded from http://www.nature.com/nature/journal/v425/n6959/suppinfo/nature02046.html
# Ghaemmaghami et al. Nature 2003
#ORF	Observed Expression	Protein Molecules/Cell	Standard Deviation	CEC	Spurious
orf	method	abund	sd.abund	cec	spurious
YCL058C	None	NA	NA	0.04	1
YCL059C	Both	4339	NA	0.74	0
YCL061C	Both	721	NA	0.82	0
YCL063W	TAP	NA	NA	0.58	0
YCL064C	Both	36602	NA	0.7	0
YCL065W	None	NA	NA	-0.14	1
YCL066W	None	NA	NA	0.39	0
YCL067C	None	NA	NA	0.51	0
YCL068C	None	NA	NA	0.18	0
YCL069W	None	NA	NA	0.42	0
YCL073C	None	NA	NA	0.46	0
YCL075W	None	NA	NA	0.18	1
YCL076W	None	NA	NA	0.56	0
YCR001W	None	NA	NA	0.04	1
YCR002C	Both	14088	NA	0.72	0
YCR003W	Both	1695	NA	0.55	0
YCR004C	Both	14599	NA	0.66	0
YCR005C	Both	2313	NA	0.79	0
YCR006C	None	NA	NA	-0.25	1
YCR007C	None	NA	NA	0.62	0
YCR008W	TAP	1026	NA	0.72	0
YCR009C	Both	7389	NA	0.76	0
YCR010C	None	NA	NA	0.56	0
YCR011C	Both	339	NA	0.74	0
YCR012W	Both	314024	1.32E+05	0.65	0
YCR013C	None	NA	NA	0.27	0
YCR014C	None	NA	NA	0.74	0
YCR015C	None	NA	NA	0.65	0
YCR016W	Both	1848	NA	0.74	0
YCR017C	GFP	NA	NA	0.63	0
YCR018C	Both	2096	NA	0.47	0
YCR018C-A	GFP	NA	NA	0.11	0
YCR019W	None	NA	NA	0.52	0
YCR020C	Both	195	NA	0.62	0
YCR020C-A	TAP	2145	NA	0.35	0
YCR020W-B	Both	3554	NA	0.4	0
YCR021C	Both	7796	NA	0.63	0
YCR022C	None	NA	NA	-0.11	1
YCR023C	Both	NA	NA	0.59	0
YCR024C	Both	784	NA	0.66	0
YCR024C-A	Both	123765	NA	0.36	0
YCR025C	None	NA	NA	-0.16	1
YCR026C	TAP	3422	NA	0.66	0
YCR027C	Both	1604	NA	0.48	0
YCR028C	GFP	NA	NA	0.5	0
YCR028C-A	Both	3060	NA	0.56	0
YCR030C	Both	4277	NA	0.76	0
YCR031C	TAP	29597	NA	0.56	0
YCR032W	None	NA	NA	0.71	0
YCR033W	Both	396	NA	0.68	0
YCR034W	Both	3508	NA	0.43	0
YCR035C	Both	3182	NA	0.69	0
YCR036W	Both	1784	NA	0.72	0
YCR037C	Both	504	NA	0.82	0
YCR038C	Both	2108	NA	0.4	0
YCR038W-A	None	NA	NA	-0.13	1
YCR039C	TAP	NA	NA	0.51	0
YCR040W	None	NA	NA	0.39	0
YCR041W	None	NA	NA	-0.09	1
YCR042C	Both	1155	NA	0.77	0
YCR043C	Both	4236	NA	0.39	0
