#rpkm values of gene expression		
#data file name	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX 
#gene id/sample#	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23
orf	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX
YBL005W	5.902	5.045	12.484	13.166	9.273	10.432	7.451	9.476	10.48	12.925	26.232	23.341	13.156	11.196	10.167	15.323	6.849	4.933	3.565	17.475	8.541	2.358	9.468
YBL006C	43.951	36.685	58.528	49.849	40.795	41.698	39.12	49.62	77.605	104.873	107.984	82.342	72.12	49.106	60.311	59.064	65.006	23.068	45.568	58.777	60.959	40.768	52.046
YBL007C	77.504	95.92	87.094	88.767	85.173	87.62	93.192	78.553	133.496	140.025	111.383	101.708	108.575	122.524	137.842	114.461	79.85	50.416	93.727	70.199	120.955	101.636	71.833
YBL008W	8.642	10.162	10.292	10.159	9.201	7.575	7.206	8.426	11.04	18.326	12.817	12.71	11.141	9.026	11.187	12.468	7.413	5.202	7.014	7.952	6.629	9.398	11.538
YBL008W-A	0.768	3.518	2.359	3.014	1.884	1.681	3.245	2.129	0	2.937	5.511	7.475	12.204	24.227	12.907	18.444	4.073	7.299	0.736	0	1.261	0	1.029
YBL009W	19.85	10.201	23.348	21.78	19.401	19.924	18.824	19.526	12.145	14.691	11.987	8.981	10.352	7.51	13.335	14.442	4.577	3.175	22.828	17.53	17.458	17.892	18.432
YBL010C	12.354	16.57	22.005	17.038	14.914	14.727	13.191	12.335	27.128	24.347	24.663	20.725	14.027	19.047	20.064	18.187	12.28	5.043	17.466	59.576	29.219	18.494	22.11
YBL011W	20.28	32.304	26.211	26.712	22.813	21.588	18.817	16.578	39.231	44.509	44.86	42.244	34.719	28.059	32.297	27.242	18.049	9.532	21.685	35.116	29.795	23.593	16.856
YBL013W	4.247	4.898	4.48	5.087	5.248	4.149	3.052	3.571	7.75	6.32	11.859	12.03	8.96	10.892	6.127	6.304	5.929	2.464	5.029	17.892	13.724	3.195	4.039
YBL014C	4.466	8.001	5.175	5.605	3.215	3.277	4.57	5.765	3.862	6.839	3.507	3.181	2.181	1.674	4.244	4.095	2.206	0.527	3.944	3.425	2.048	4.708	6.968
