# Abundance and Variation Measurements for Strains Grown in YEPD and SD
# Newman et al. Nature 2006
# ORF	Name	NA	Ave. YEPD	Error	Ave. SD	Error
orf	gene	avg.yepd.abund	avg.yepd.abund.error	avg.sd.abund	avg.sd.abund.error
YDL015C	TSC13	854.5	40.67	609.0	36.50
YDL017W	CDC7	55.0	21.46	NA	NA
YDL018C	ERP3	265.5	24.92	246.0	26.29
YDL019C	OSH2	114.0	22.33	184.0	25.34
YDL020C	RPN4	NA	NA	NA	NA
YDL021W	GPM2	NA	NA	NA	NA
YDL022W	GPD1	2206.0	84.45	2870.5	123.50
YDL025C	NA	84.0	21.87	302.0	28.40
YDL027C	NA	NA	NA	NA	NA
YDL028C	MPS1	NA	NA	NA	NA
YDL029W	ARP2	NA	NA	NA	NA
YDL030W	PRP9	NA	NA	NA	NA
YDL033C	MTO2	NA	NA	NA	NA
YDL036C	NA	NA	NA	NA	NA
YDL040C	NAT1	717.5	36.91	629.0	38.69
YDL042C	SIR2	62.0	21.56	NA	NA
YDL043C	PRP11	NA	NA	NA	NA
YDL044C	MTF2	NA	NA	NA	NA
YDL045C	FAD1	NA	NA	NA	NA
YDL045W-A	MRP10	NA	NA	NA	NA
YDL046W	NPC2	74.5	21.74	58.9	21.94
YDL047W	SIT4	166.5	23.22	114.5	23.98
YDL048C	STP4	NA	NA	NA	NA
YDL051W	LHP1	517.0	31.29	370.5	30.76
YDL052C	SLC1	951.0	43.55	671.0	38.52
YDL053C	PBP4	247.0	24.79	202.9	24.79
YDL054C	MCH1	NA	NA	NA	NA
YDL055C	PSA1	23965.5	835.65	14607.0	589.23
YDL056W	MBP1	NA	NA	NA	NA
YDL058W	USO1	252.0	24.89	136.2	23.39
YDL059C	RAD59	NA	NA	NA	NA
YDL060W	TSR1	410.5	28.54	NA	NA
YDL061C	RPS29B	2578.5	97.42	1961.6	86.63
YDL063C	NA	139.5	22.75	NA	NA
YDL064W	UBC9	588.5	33.24	343.5	28.89
YDL065C	PEX19	202.5	23.89	176.0	25.43
YDL066W	IDP1	645.5	34.48	1856.5	84.17
YDL067C	COX9	NA	NA	NA	NA
YDL070W	BDF2	152.0	22.98	72.5	22.84
YDL072C	YET3	692.5	35.84	650.0	37.89
YDL074C	BRE1	113.5	22.32	90.5	23.21
YDL076C	RXT3	64.5	21.59	66.5	22.98
YDL077C	VAM6	NA	NA	NA	NA
YDL078C	MDH3	274.5	25.37	270.5	27.99
YDL080C	THI3	NA	NA	NA	NA
YDL081C	RPP1A	6605.0	235.33	5304.9	219.45
YDL082W	RPL13A	4069.5	148.19	2970.5	126.95
YDL083C	RPS16B	415.0	28.66	435.5	32.78
YDL084W	SUB2	NA	NA	NA	NA
YDL085C-A	NA	258.5	25.03	278.6	26.78
YDL087C	LUC7	NA	NA	NA	NA
YDL088C	ASM4	173.0	23.34	176.5	24.23
YDL089W	NA	NA	NA	NA	NA
YDL090C	RAM1	NA	NA	NA	NA
YDL091C	UBX3	NA	NA	NA	NA
YDL092W	SRP14	332.5	26.68	275.5	27.14
YDL095W	PMT1	111.5	22.09	93.5	22.54
YDL097C	RPN6	677.0	35.76	446.5	32.96
YDL098C	SNU23	NA	NA	NA	NA
YDL099W	NA	209.5	24.03	196.5	25.95
YDL100C	ARR4	521.5	31.42	378.0	31.08
YDL101C	DUN1	NA	NA	NA	NA
YDL102W	CDC2	221.5	24.27	200.5	25.70
YDL103C	QRI1	201.0	23.86	195.0	25.89
YDL104C	QRI7	NA	NA	NA	NA
YDL105W	QRI2	NA	NA	NA	NA
YDL106C	PHO2	NA	NA	NA	NA
YDL107W	MSS2	NA	NA	NA	NA
YDL108W	KIN28	46.5	21.35	NA	NA
YDL110C	NA	205.5	23.95	281.7	26.80
YDL111C	RRP42	194.5	23.76	135.0	24.48
YDL112W	TRM3	NA	NA	60.5	23.05
YDL113C	ATG20	NA	NA	57.0	22.46
YDL115C	IWR1	NA	NA	NA	NA
YDL116W	NUP84	298.0	25.61	227.4	25.53
YDL117W	CYK3	NA	NA	NA	NA
YDL119C	NA	NA	NA	60.0	21.89
YDL120W	YFH1	116.5	22.37	NA	NA
YDL121C	NA	409.5	28.51	277.7	26.64
YDL122W	UBP1	239.5	24.63	194.0	34.79
YDL123W	SNA4	335.0	26.76	278.9	26.74
YDL124W	NA	464.0	29.90	577.0	37.48
YDL125C	HNT1	602.5	33.32	460.1	31.81
