orf	norm	dens	count	len	total
YER049W_3_utr	0.000	0.000	0	72	1698134
YER049W_5_utr	0.000	0.000	0	82	1698134
YER050C	109.625	186.158	78	419	1698134
YER050C_3_utr	16.588	28.169	2	71	1698134
YER050C_5_utr	36.805	62.500	1	16	1698134
YER051W	3.579	6.077	9	1481	1698134
YER051W_3_utr	0.000	0.000	0	202	1698134
YER051W_5_utr	42.063	71.429	1	14	1698134
YER052C	119.930	203.657	323	1586	1698134
YER052C_5_utr	0.000	0.000	0	64	1698134
YER053C	14.966	25.414	23	905	1698134
YER053C-A	25.383	43.103	5	116	1698134
YER053C-A_5_utr	0.000	0.000	0	64	1698134
YER053C_3_utr	0.000	0.000	0	106	1698134
YER053C_5_utr	0.000	0.000	0	83	1698134
YER054C	0.714	1.213	2	1649	1698134
YER054C_3_utr	0.000	0.000	0	42	1698134
YER054C_5_utr	0.000	0.000	0	213	1698134
YER055C	334.532	568.080	509	896	1698134
YER055C_3_utr	0.000	0.000	0	96	1698134
YER055C_5_utr	40.334	68.493	5	73	1698134
YER056C	204.126	346.633	556	1604	1698134
YER056C-A_3_utr	0.000	0.000	0	44	1698134
YER056C-A_5_utr	0.000	0.000	0	3	1698134
YER056C-A_intron	15.138	25.707	10	389	1698134
YER056C_3_utr	0.000	0.000	0	74	1698134
YER056C_5_utr	16.358	27.778	2	72	1698134
YER057C	331.997	563.776	221	392	1698134
YER057C_3_utr	0.000	0.000	0	46	1698134
YER057C_5_utr	0.000	0.000	0	13	1698134
YER058W	25.289	42.945	14	326	1698134
YER058W_3_utr	0.000	0.000	0	73	1698134
YER058W_5_utr	0.000	0.000	0	2	1698134
YER059W	24.673	41.897	53	1265	1698134
YER059W_3_utr	0.000	0.000	0	58	1698134
YER059W_5_utr	19.962	33.898	4	118	1698134
YER060W	8.524	14.475	23	1589	1698134
YER060W_3_utr	0.000	0.000	0	107	1698134
YER060W_5_utr	4.530	7.692	1	130	1698134
YER061C	15.928	27.047	36	1331	1698134
YER061C_3_utr	0.000	0.000	0	15	1698134
YER061C_5_utr	0.000	0.000	0	26	1698134
YER062C	95.937	162.914	123	755	1698134
YER062C_3_utr	0.000	0.000	0	133	1698134
YER062C_5_utr	3.236	5.495	1	182	1698134
YER063W	157.273	267.071	176	659	1698134
YER063W_3_utr	0.000	0.000	0	134	1698134
YER063W_5_utr	0.000	0.000	0	50	1698134
YER064C	72.835	123.684	188	1520	1698134
YER064C_3_utr	0.000	0.000	0	218	1698134
YER064C_5_utr	0.000	0.000	0	77	1698134
YER065C	0.351	0.597	1	1676	1698134
YER065C_3_utr	0.000	0.000	0	79	1698134
YER065C_5_utr	1.924	3.268	1	306	1698134
YER066W_3_utr	0.000	0.000	0	120	1698134
YER067W	26.548	45.082	22	488	1698134
YER067W_3_utr	0.000	0.000	0	78	1698134
YER068W	42.349	71.914	127	1766	1698134
YER068W_3_utr	0.000	0.000	0	93	1698134
YER068W_5_utr	0.000	0.000	0	43	1698134
YER069W	13.394	22.745	59	2594	1698134
YER069W_3_utr	0.000	0.000	0	114	1698134
YER070W	145.400	246.909	659	2669	1698134
YER070W_3_utr	0.000	0.000	0	191	1698134
YER070W_5_utr	0.000	0.000	0	23	1698134
YER071C	50.739	86.162	33	383	1698134
YER071C_3_utr	0.000	0.000	0	186	1698134
YER072W	1152.225	1956.633	767	392	1698134
YER072W_3_utr	9.060	15.385	2	130	1698134
YER072W_5_utr	90.597	153.846	4	26	1698134
YER073W	177.605	301.597	472	1565	1698134
YER073W_3_utr	0.000	0.000	0	120	1698134
YER073W_5_utr	14.815	25.157	4	159	1698134
YER074W-A	135.284	229.730	51	222	1698134
YER074W-A_3_utr	0.000	0.000	0	46	1698134
YER074W-A_5_utr	0.000	0.000	0	13	1698134
YER074W-A_intron	0.000	0.000	0	103	1698134
YER074W_3_utr	39.259	66.667	6	90	1698134
YER074W_5_utr	0.000	0.000	0	12	1698134
YER074W_intron	15.429	26.201	12	458	1698134
YER075C	9.924	16.852	47	2789	1698134
YER075C_3_utr	0.000	0.000	0	275	1698134
YER076C	5.171	8.782	8	911	1698134
