# Downloaded from http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM346117, 2/14/2009
orf	norm	dens	count	len	total
YBL023C_3primeutr	45.486	161.111	29	180	3541965
YBL023C_5primeutr	33.611	119.048	5	42	3541965
YBL024W	94.842	335.926	691	2057	3541965
YBL024W_3primeutr	49.598	175.676	13	74	3541965
YBL024W_5primeutr	38.232	135.417	13	96	3541965
YBL025W	130.898	463.636	204	440	3541965
YBL025W_3primeutr	131.754	466.667	28	60	3541965
YBL025W_5primeutr	44.033	155.963	17	109	3541965
YBL026W	294.831	1044.280	283	271	3541965
YBL026W_3primeutr	334.337	1184.211	135	114	3541965
YBL026W_5primeutr	132.522	469.388	23	49	3541965
YBL026W_intron	37.644	133.333	16	120	3541965
YBL027W_3primeutr	4810.596	17038.961	1312	77	3541965
YBL027W_5primeutr	1250.315	4428.571	31	7	3541965
YBL027W_intron	255.298	904.255	340	376	3541965
YBL028C	609.237	2157.895	697	323	3541965
YBL028C_3primeutr	652.009	2309.392	418	181	3541965
YBL028C_5primeutr	597.874	2117.647	36	17	3541965
YBL029C-A	85.584	303.136	87	287	3541965
YBL029C-A_3primeutr	116.098	411.215	44	107	3541965
YBL029C-A_5primeutr	42.885	151.899	12	79	3541965
YBL029W	20.932	74.139	84	1133	3541965
YBL029W_5primeutr	5.944	21.053	2	95	3541965
YBL030C	90.969	322.211	309	959	3541965
YBL030C_3primeutr	128.725	455.939	119	261	3541965
YBL030C_5primeutr	56.466	200.000	15	75	3541965
YBL031W	20.780	73.602	75	1019	3541965
YBL031W_3primeutr	34.625	122.642	26	212	3541965
YBL032W	74.763	264.808	304	1148	3541965
YBL032W_3primeutr	81.170	287.500	46	160	3541965
YBL032W_5primeutr	38.282	135.593	8	59	3541965
YBL033C	62.438	221.154	230	1040	3541965
YBL033C_3primeutr	115.236	408.163	20	49	3541965
YBL033C_5primeutr	21.718	76.923	1	13	3541965
YBL034C	7.767	27.509	125	4544	3541965
YBL035C	15.182	53.774	114	2120	3541965
YBL035C_3primeutr	18.822	66.667	3	45	3541965
YBL035C_5primeutr	21.464	76.023	13	171	3541965
YBL036C	259.044	917.526	712	776	3541965
YBL036C_3primeutr	221.285	783.784	87	111	3541965
YBL036C_5primeutr	31.370	111.111	1	9	3541965
YBL037W	14.116	50.000	154	3080	3541965
YBL037W_5primeutr	25.666	90.909	6	66	3541965
YBL038W	180.433	639.087	448	701	3541965
YBL038W_3primeutr	220.217	780.000	39	50	3541965
YBL038W_5primeutr	196.775	696.970	23	33	3541965
YBL039C	345.051	1222.158	2129	1742	3541965
YBL039C_3primeutr	560.381	1984.848	131	66	3541965
YBL039C_5primeutr	361.960	1282.051	50	39	3541965
YBL039W-B	77.563	274.725	50	182	3541965
YBL039W-B_3primeutr	74.009	262.136	27	103	3541965
YBL039W-B_5primeutr	69.529	246.269	66	268	3541965
YBL040C	495.284	1754.277	1128	643	3541965
YBL040C_3primeutr	220.570	781.250	50	64	3541965
YBL040C_5primeutr	241.996	857.143	6	7	3541965
YBL040C_intron	25.378	89.888	8	89	3541965
YBL041W	179.170	634.615	462	728	3541965
YBL041W_3primeutr	116.253	411.765	14	34	3541965
YBL041W_5primeutr	97.729	346.154	9	26	3541965
