#gene ID (SGD database)	Initial_Footprint_1_rpkm	5min_Footprint_1_rpkm	30min_Footprint_1_rpkm	Initial_Footprint_2_rpkm	5min_Footprint_2_rpkm	30min_Footprint_2_rpkm	Initial_mRNA_1_rpkm	5min_mRNA_1_rpkm	30min_mRNA_1_rpkm	5min_mRNA_2_rpkm	30min_mRNA_2_rpkm
orf	rdens.init.rpkm1	rdens.5min.rpkm1	rdens.30min.rpkm1	rdens.init.rpkm2	rdens.5min.rpkm2	rdens.30min.rpkm2	mrna.init.rpkm1	mrna.5min.rpkm1	mrna.30min.rpkm1	mrna.5min.rpkm2	mrna.30min.rpkm2
YBL014C	4.923104625	3.011189725	2.788435358	3.414952281	2.445896905	1.515654534	24.5478571	19.17121452	13.12042234	24.3062949	15.19178321
YBL015W	16.89244029	22.68317588	68.77914283	18.79882187	21.43688634	53.95452562	11.90190761	13.9426034	44.13702924	11.43684114	39.17987629
YBL016W	17.6659552	19.33418399	19.32362209	13.45080812	12.69635268	14.32833894	29.91919859	18.96044298	24.8899531	23.81141041	21.91893422
YBL017C	46.71143472	34.22243081	37.73299277	45.74699129	36.32928384	40.38996122	14.87280956	16.67594296	35.87463592	20.37283574	42.29529769
YBL018C	61.11582501	45.03770035	13.19015453	44.8869289	25.89088543	17.1568522	136.4020373	83.56841502	42.99907532	66.23485508	31.9084786
YBL019W	4.349359349	4.87247914	12.83596134	4.950923684	5.372174127	10.69273877	10.56293046	12.15384797	23.63212344	10.25440511	21.35369731
YBL020W	20.89216945	15.83256737	10.03881886	19.5860498	12.07908012	5.512234467	29.77783539	33.77963902	36.04475295	33.80147088	32.80666664
YBL021C	34.44940978	32.52983766	44.73215449	33.29560322	29.4974871	43.6459656	35.89494636	38.69546446	71.4750295	45.74573886	49.79791515
YBL022C	57.18904148	42.90352605	103.1731749	60.22062752	42.07643356	104.4072387	31.06391664	28.45334045	117.3167594	30.09369336	128.2187047
YBL023C	27.22586864	24.87169509	19.89935255	25.917446	22.05805292	18.78770516	13.98495443	8.762759085	15.47378781	11.96824466	17.40034478
YBL024W	143.5948268	116.7641205	28.42879099	127.7182847	139.2244175	25.47208594	82.40585104	62.4633585	17.54467327	65.3919604	23.21439879
YBL025W	29.58336433	28.12006699	34.23344982	24.66635075	21.497993	37.25277316	31.86155234	27.66096556	26.74760846	24.57889628	22.83860979
YBL026W	149.4705018	187.4069395	155.3818913	138.3250258	180.7043236	123.6823523	199.5914523	218.754874	176.6169937	208.0777974	145.779991
YBL028C	132.8740833	110.4839143	19.74117935	119.8892757	155.0023361	22.80277845	230.0990715	130.0294974	20.08216165	149.6350853	22.73942909
YBL029C-A	15.1680713	18.60169949	87.15347924	14.47824594	22.58997851	78.42072549	22.44943894	39.06566742	53.60737725	23.54311283	50.68820858
YBL029W	1.801701889	1.2715586	2.20780195	1.45143092	1.307576742	2.368216867	3.0914629	2.392248121	4.464145428	3.520429901	3.266290348
YBL030C	343.1119584	388.264094	454.4076763	358.42425	345.5538853	389.9547563	187.252786	173.6812644	304.2654193	224.1830574	294.0443511
YBL031W	7.887247974	7.952354522	7.033105195	7.021157252	7.041935291	7.043584829	18.90618406	14.13629291	7.707935786	20.49408051	12.65548458
YBL032W	146.3010373	89.69099959	61.47599202	127.0363765	74.36523949	54.55644422	146.4469269	165.549495	123.5702626	188.3794979	102.1804097
YBL033C	26.12357395	98.44556134	125.5816815	28.85011199	83.02815386	96.05441875	33.61933445	85.05908829	98.95284404	100.0903008	77.38118803
YBL034C	7.56282607	5.275486803	7.473035173	7.988891629	6.534183519	5.435974963	4.07691336	4.829358878	4.785980058	5.992074967	7.686116389
YBL035C	16.37302243	15.59140039	13.72363711	18.42007281	14.36961395	11.67016275	11.94147991	10.57348637	14.68905363	11.03137816	15.91734479
YBL036C	131.8782878	100.7789191	99.34644723	111.4585519	102.2884692	92.92387151	129.1857464	106.1214044	119.7458755	124.4558443	106.9989301
YBL037W	16.37699466	13.53678313	23.31277241	14.45829685	12.75681178	18.02804027	12.04877485	10.65115904	19.41089139	11.61915249	21.78109613
YBL038W	54.1701547	53.89450177	150.4195618	50.02709614	50.95366793	107.6395803	54.90337704	52.95350857	113.7004071	51.9759379	86.23199468
YBL039C	284.9230487	242.8604722	8.327721259	213.1309544	216.3554747	4.12016675	195.84923	123.3553652	4.343273894	168.4451769	5.02288659
YBL039W-B	15.80897572	21.50821503	30.82413494	12.8893774	10.27935111	35.13394294	28.97543863	37.99988781	45.2034583	23.18887618	69.94132648
YBL040C	138.1168102	147.1922743	194.4291588	125.2784609	122.196689	132.8296255	167.8160821	217.7567695	252.53274	241.538791	216.9476331
YBL041W	226.9067841	227.8764788	456.6426282	224.3613437	236.2210282	423.5529649	140.7885397	174.2740047	368.9274407	194.8136174	334.8510318
YBL042C	37.54631733	24.49077756	3.230932149	38.96868858	21.7549661	3.525483896	70.07704526	28.364005	6.984483733	43.4306711	10.73173793
YBL043W	0	0.850967954	1.970042863	0.130600915	0.320026497	0.589725386	0.358252209	1.106317768	1.544583594	1.19669081	1.229872759
YBL044W	0	0.609190017	0	0.046747221	0.100231347	0.105542993	1.436205137	3.198419399	1.425815965	2.998400023	1.925962453
YBL045C	54.41315426	70.03796418	131.768431	48.63189682	46.78180121	89.42962626	24.79060291	25.75271565	60.72716152	17.91673458	56.24097594
YBL046W	19.14871855	18.84662981	20.26834823	17.90860856	15.95521991	20.85330672	22.3736394	19.93037915	30.92668263	19.27609255	28.86225967
YBL047C	81.22320385	53.66548486	102.4384727	91.59922617	64.72668398	109.4347143	15.05109084	19.15251902	76.16179076	25.13801961	95.37046184
YBL049W	5.111735051	9.56351457	38.89480749	4.522240591	6.634240151	49.03504129	7.160071586	3.075998299	35.433358	6.36095904	35.4650493
YBL050W	99.08513986	88.77282713	268.337685	108.3484156	92.72377487	229.6432613	115.3066236	120.9752526	284.0184613	94.01350481	294.4232894
YBL051C	71.62535407	64.53484951	86.13997291	58.72730513	60.17370799	63.63796925	18.66360625	26.82937731	42.60967006	40.89946561	63.76208248
YBL052C	4.65163935	1.470471812	2.850054855	4.135685245	1.958025225	2.073637886	31.60370602	20.3722585	21.70186772	24.27114717	21.29852426
YBL054W	19.62751722	21.01066692	1.026722513	14.40424829	17.95049844	0.470623202	51.23307146	26.0790202	2.446736579	48.02308887	2.348553538
YBL055C	30.77762991	42.77387951	31.80576918	30.6712676	34.50093784	23.2011685	51.67328295	46.89798779	33.3866982	49.63505269	31.97164257
YBL056W	127.0040131	123.6250229	311.1621226	124.0663009	116.3378039	240.5854938	147.352779	160.5769681	380.3164997	142.0599261	352.3921859
YBL057C	73.82356552	69.15703916	84.5760315	64.58244323	63.54676611	62.46034301	125.5602341	110.1911235	110.9916441	117.2115831	101.3353096
