Threshold +/-1.5 for log2(TE change) was used in the manuscript. Refer to the fig. S2b if you like to select a different threshold.
gene_name 5 min	5 min log2(TE change)	gene_name 30 min	30 min log2(TE change)
YMR025W	0.580869169	YOR167C	0.726785792
YDR100W	0.577979273	YNL029C	0.724530139
YHL013C	0.577822641	YIL138C	0.724353568
YMR093W	0.577011805	YDR308C	0.724307825
YDR482C	0.577010715	YPR106W	0.724024915
YDR539W	0.574247443	YNL135C	0.723782719
YDR281C	0.574149001	YDR393W	0.722774617
YDL105W	0.573480248	YMR105C	0.719378365
YPR017C	0.571282349	YPL178W	0.718953075
YOL011W	0.571184047	YOL105C	0.718804451
YDR512C	0.570860814	YFR033C	0.718704316
YJR112W-A	0.568778489	YBR111W-A	0.718703551
YER067W	0.567169268	YGR063C	0.718321164
YMR228W	0.566742639	YER104W	0.718076465
YGR016W	0.565889993	YHL010C	0.717137284
YER058W	0.565763386	YLR390W	0.716774419
YML022W	0.5651411	YNL255C	0.714510457
YLR254C	0.565117095	YBR137W	0.713769873
YLR301W	0.564881167	YOR286W	0.713312181
YOL108C	0.562317327	YKL096W-A	0.711930232
YGL054C	0.561393882	YDR525W-A	0.711504142
YLR390W	0.559415612	YDL183C	0.709908619
YDR044W	0.559099614	YIL146C	0.709332404
YLR221C	0.5581678	YBL071W-A	0.709285173
YNL147W	0.557117204	YIL045W	0.70787853
YMR077C	0.556572533	YDR540C	0.706756083
YIL152W	0.555469143	YDR174W	0.706380217
YIL014C-A	0.554876189	YOR057W	0.70486556
YNL156C	0.554520172	YGR209C	0.703640823
YKL186C	0.554024237	YHR195W	0.702042714
YKL027W	0.553465718	YNL053W	0.699633437
YMR267W	0.552898438	YKL160W	0.699136661
YMR201C	0.552778924	YDL002C	0.698987741
YOR340C	0.552279273	YOR062C	0.697342611
YGR169C	0.552152846	YEL024W	0.693968349
YLR285W	0.550751687	YOL110W	0.692780371
YOR307C	0.550579154	YPL020C	0.692100547
YKL125W	0.550218641	YGL101W	0.688657626
YPL135W	0.54976994	YGR076C	0.688409641
YBR257W	0.549574447	YHR021C	0.688386564
YFR032C-A	0.549375529	YJL189W	0.688129263
YBR122C	0.547006816	YDL004W	0.686308738
YGL246C	0.546106455	YOR360C	0.685343379
YLR116W	0.543057683	YHR059W	0.68514682
YDR020C	0.542774936	YMR112C	0.682982933
YPL042C	0.542377929	YPR140W	0.682731193
YLR321C	0.541510686	YGR146C	0.682127665
YLR226W	0.541297917	YGR153W	0.681165483
YOL028C	0.539968723	YML077W	0.676819951
YKL208W	0.539428118	YOR159C	0.674459883
YJL200C	0.538518047	YOL055C	0.673350111
YIL078W	0.537706076	YLR412W	0.672971086
YLR306W	0.537685901	YGR030C	0.672621023
YNL024C-A	0.537596949	YLR220W	0.672256809
YHR069C	0.537594354	YDL098C	0.672033779
YJL003W	0.537570026	YLR116W	0.671559573
YOR091W	0.53754266	YLR018C	0.671477815
YDR091C	0.537271757	YFL027C	0.668037765
YKR083C	0.535187156	YGR172C	0.665829378
YDR439W	0.532300234	YER128W	0.665563688
YHR197W	0.531894088	YDR116C	0.664557226
YLR147C	0.531399183	YPL271W	0.663852426
YIL050W	0.53106001	YER183C	0.663836208
YPL234C	0.529515064	YKL006C-A	0.662869428
YLR108C	0.527321542	YJL133W	0.662743954
YBL016W	0.526165776	YDR469W	0.662241494
YCR026C	0.525528098	YKR057W	0.661809317
YNL164C	0.525062111	YPL039W	0.661494061
YOR289W	0.524597378	YIL118W	0.661078252
YOR080W	0.524262778	YDR305C	0.660016788
YPL172C	0.523730332	YNL113W	0.659833295
YMR114C	0.522890896	YMR312W	0.659100781
YHR089C	0.522330859	YER009W	0.658536529
YOR043W	0.522295458	YCR071C	0.658510723
YJL031C	0.522270569	YHL029C	0.658299087
YCR047C	0.519007011	YLR395C	0.658162715
YFR001W	0.517434015	YDL047W	0.657954569
YML093W	0.517019182	YMR122W-A	0.657513818
YOR226C	0.516974577	YCR086W	0.656802597
YMR256C	0.516686607	YGL041W-A	0.656500761
YJR010C-A	0.516498724	YER116C	0.656270217
YDR047W	0.516468112	YDR033W	0.656119026
YJR056C	0.515850563	YGR133W	0.654503218
YMR177W	0.515052403	YKL110C	0.654118325
YPR125W	0.514250298	YKL138C-A	0.65376385
YKL058W	0.513705261	YER071C	0.651609217
YKR060W	0.512722354	YJR112W-A	0.650161308
YHR005C-A	0.512185043	YLR266C	0.650078903
YGL125W	0.511996596	YJL013C	0.648943882
YHR045W	0.509827641	YDR022C	0.648565902
YJR070C	0.509492431	YDR201W	0.648203086
YBR267W	0.509154488	YPL098C	0.647443064
YDL110C	0.509114124	YPR149W	0.646908894
YLR336C	0.508392904	YLR007W	0.646221265
YML129C	0.50835752	YPL172C	0.645613272
YMR188C	0.507854205	YJL004C	0.644644621
YGL101W	0.507720688	YGR074W	0.6438235
YGR020C	0.506970572	YCR097W	0.643280506
YLR449W	0.506584377	YER002W	0.642351702
YLR183C	0.506498718	YPL071C	0.641461197
YGR063C	0.505348063	YDR371W	0.641070837
YPR169W	0.505167043	YGR068C	0.64101251
YMR225C	0.505082551	YEL020W-A	0.640755733
YIL138C	0.504725872	YJL185C	0.640588717
YPR057W	0.504532627	YDL111C	0.640516081
YER127W	0.504252921	YDR306C	0.640468617
YOL151W	0.503967258	YGR037C	0.640242089
YJR022W	0.503883329	YPR025C	0.640188318
YMR015C	0.502906766	YLR064W	0.638969541
YDR412W	0.502134704	YGL226C-A	0.63896652
YDL027C	0.501938745	YGL194C-A	0.638218763
YIR008C	0.49987956	YMR255W	0.637909086
YDL047W	0.499310063	YPL252C	0.636344633
YKR064W	0.498823989	YDR439W	0.636289477
YGL057C	0.498738106	YOL125W	0.635498184
YER070W	0.49796565	YIL161W	0.635018394
YOR278W	0.497878837	YDR281C	0.634177699
YCR095C	0.497681077	YKL018C-A	0.633690103
YHR128W	0.497450218	YBR201W	0.632816294
YHR052W	0.497362846	YMR228W	0.63205194
YDR458C	0.49713232	YIL133C	0.631888819
YGL108C	0.494811732	YDL121C	0.63186319
YPR152C	0.49428923	YMR225C	0.631849378
YIL079C	0.494017914	YKL003C	0.631499186
YMR244C-A	0.492785514	YLR051C	0.629085163
YLR043C	0.490844904	YNL155W	0.628799681
YPL175W	0.490664688	YPR017C	0.628442243
YLR063W	0.490226752	YEL048C	0.628362271
YOL149W	0.489721757	YDR066C	0.627511245
YGR206W	0.48930063	YKR068C	0.62745292
YPR191W	0.488979545	YHR002W	0.627062155
YJL104W	0.488465323	YAL033W	0.624437065
YDR201W	0.487364411	YEL026W	0.623805458
YJL205C	0.486433426	YJR056C	0.622839333
YGR187C	0.486357031	YGR203W	0.622416051
YOR344C	0.486025439	YLR147C	0.621818246
YOR059C	0.484483071	YBL033C	0.620431899
YDR286C	0.483543131	YDL215C	0.61966169
YOR252W	0.483422237	YKL119C	0.619164362
YCR071C	0.483131157	YFR014C	0.618701163
YHR051W	0.482804559	YMR123W	0.616887422
YDR393W	0.481762508	YGL098W	0.616870484
YOL066C	0.481565394	YKR051W	0.616069206
YGL047W	0.480949549	YLR104W	0.615817838
YOR308C	0.480917164	YIL008W	0.615131353
YOL008W	0.48073031	YFL017W-A	0.613306527
YOR145C	0.48042961	YOR344C	0.612852721
YLR181C	0.479334415	YOR111W	0.61267818
YDR121W	0.479170636	YBR162W-A	0.612415835
YPL107W	0.478749618	YDL027C	0.612180925
YGL171W	0.478020093	YLL049W	0.610843283
YOR143C	0.47743155	YPR093C	0.610052838
YJR063W	0.47706931	YMR064W	0.609523367
YPL191C	0.476970189	YGL231C	0.609319926
YOR342C	0.476469323	YGR161W-C	0.609087991
YMR252C	0.475231441	YPL013C	0.607400493
YJR088C	0.474834593	YDR498C	0.607208619
YPL229W	0.474076054	YBR217W	0.606835074
YGL056C	0.473969169	YHR071W	0.606309598
YHR208W	0.472650608	YER087C-B	0.605992682
YLR211C	0.47186733	YNL153C	0.605311794
YCL005W-A	0.47130802	YFL017C	0.603248882
YMR148W	0.470087078	YNL245C	0.602682712
YBR164C	0.469590095	YBR077C	0.602630147
YPR119W	0.469508301	YOL073C	0.602170986
YLL027W	0.468452342	YIR018W	0.60216219
YKL170W	0.468065169	YDR004W	0.599721053
YGL232W	0.467895385	YIL136W	0.598544711
YNL131W	0.466927458	YLR414C	0.598291293
YOR283W	0.46608351	YIL064W	0.598179863
YCL063W	0.465786508	YPL158C	0.597874404
YLR457C	0.465159324	YHR128W	0.596845277
YDR110W	0.464965713	YGL125W	0.596782232
YBR137W	0.464927168	YKL161C	0.596623337
YLR395C	0.464905408	YOR037W	0.596342856
YKL119C	0.464885824	YBR213W	0.596223342
YGL041W-A	0.464868139	YLR361C-A	0.59585907
YDR357C	0.464791741	YPL037C	0.595673226
YPL038W	0.46471318	YOL159C-A	0.595592822
YER116C	0.464328586	YBR002C	0.594247385
YPL051W	0.463913807	YDL146W	0.594072973
YPL146C	0.463125023	YBR165W	0.593747542
YNL151C	0.462416832	YDR020C	0.593272333
YNR022C	0.46236673	YNL252C	0.593095484
YNR054C	0.46126429	YAL027W	0.592783581
YNL004W	0.460612963	YGR042W	0.592269465
YLR094C	0.459640377	YDR005C	0.591478641
YPR199C	0.45932214	YKL156W	0.590657938
YAL033W	0.459240312	YOL002C	0.590604094
YLR199C	0.458789354	YLR364W	0.590585089
YBR030W	0.458153463	YPL151C	0.590336371
YNL108C	0.457920879	YLR226W	0.589455462
YBR034C	0.457620455	YGL079W	0.589064019
