# Lee et al. "A dynamic model of proteome changes reveals new roles for transcript alteration in yeast" Molecular Systems Biology 7:514 (2011).
#Protein	Metrics	NA	NA	Quantitation	NA	NA	NA	NA	NA	NA	NA
#Protein	Probability Score	PSMs	Unique Peptides	"TMT-130 Intensity
#0 min"	"TMT-126 Intensity
#30 min"	"TMT-127 Intensity
#60 min"	"TMT-128 Intensity
#90 min"	"TMT-129 Intensity
#120 min"	"TMT-131 Intensity
#240 min"	Quantified PSMs	Quantified Unique Peptides
orf	probability.score	psms	unique.peptides	tmt.130.intensity.nacl.0min	tmt.126.intensity.nacl.30min	tmt.127.intensity.nacl.60min	tmt.128.intensity.nacl.90min	tmt.129.intensity.nacl.120min	tmt.131.intensity.nacl.240min	quantified.psms	quantified.unique.peptides
YDL145C	0	186	33	84741555.47	84418476.13	84694354.31	87047315.49	87546603.16	93061397.29	89	25
YOL086C	0	4939	33	1591449927	1502877515	1589281742	1636357268	1639666516	1596935438	1631	26
YHR019C	0	183	24	133907778.5	131267510.3	122450531.1	125161513.4	119535588.9	128605986.6	102	21
YDR037W	0	466	40	177595118.6	174980692.4	178959717	179819612.4	175750730.2	174822034.4	251	37
YOR317W	0	187	27	62303445.27	74115593.99	91024407.33	98763205.99	109038540.3	128441817.5	75	20
YNL178W	0	791	27	451889809.1	412847422.1	428284520.5	425096677.5	425329671	439165937.1	395	27
YBR143C	0	201	26	98937413.1	96897221.4	96535517.09	97085582.93	97245997.69	103949523.5	98	21
YMR120C	0	251	31	77523448.44	74479673.22	77242876.75	73047660.14	69470386.44	64145088.34	87	23
YJR121W	0	263	26	145660827.9	147201729.9	153462303.9	161801663.5	161977554.5	174806421.6	126	24
YNR016C	0	547	91	254034666.2	241722826	232149003	224498976.6	217188336.5	192047878.8	229	62
YBR011C	0	509	20	191797978.2	190498286.9	188111947.9	189565892.2	191614090.9	197331940.9	218	20
YPL240C	0	964	60	121001661.6	132711701.7	145641107.4	139348735.8	130321223.3	119070037.5	91	9
YNL209W	0	2411	53	65453549.84	59165888.29	58170168.67	59168511.08	59796012.34	58434553.61	49	3
YDR127W	0	273	57	88305338.12	86167659.56	94804758.71	99934378.86	108611950.1	123580590.4	99	36
YDL185W	0	827	64	350415381.7	345695536.9	366777820.4	374068716.5	381380369.2	389524891.2	415	66
YKL157W	0	136	33	49821519.46	49441545.7	55782480.97	59806912.68	60873155.05	61730648.41	52	15
YPL019C	0	210	36	154056465.2	140346445.6	133820386.7	131850056.8	128997947	115753996.8	117	26
YNL121C	0	137	29	59831828.39	60988083.03	60926869.53	62357256.37	63513988.73	66541667.92	73	20
YMR108W	0	364	32	103468334.2	96217817.02	96122496.64	97004119.97	93721802.29	93697944.98	174	26
YLR058C	0	314	30	156450201	161515798.1	152123790.5	150619038.1	146474226.4	136751848.8	145	26
YOR335C	0	440	60	285760293.7	280073318.7	274048200.2	274947425.5	271776747.4	264823696.3	267	48
YML070W	0	171	24	69015560.22	86702186.79	128742244.5	140706139.1	144353608.1	142752333	74	15
YLR304C	0	320	40	149769571.6	156006325.4	153478061.9	158062424.1	183422233.8	205661943	163	35
YPR080W	0	6229	45	1543797534	1535118049	1373468180	1407220602	1401719888	1507693376	3740	51
YGR155W	0	564	45	280130426.1	277024085	273584844.7	276251985.6	277054577	275560819.5	290	42
YER043C	0	388	35	269161045.7	268489642.8	258656110.6	260206681.5	256391422.7	253552499.4	198	30
YKL029C	0	148	24	55825983.72	53774844.33	52685242.44	53827026.44	52246755.7	50167474.41	55	21
YHR208W	0	334	25	118908368.5	117995680.5	117873938.3	124971006	118362002.3	124533716.1	173	20
